city_name,state_id,lat,lng,population_city,density_city,incorporated_city,ranking_city
Hollywood,FL,26.0293,-80.1679,152764,2164.4,1,2
South Lyon,MI,42.4614,-83.6526,152132,1216.5,1,2
Escondido,CA,33.1348,-117.0723,151114,1562.3,1,2
Lake Charles,LA,30.201,-93.2111,151109,670.5,1,2
Pasadena,TX,29.6575,-95.1498,150620,1331.1,1,2
Bellevue,WA,47.5951,-122.1535,150606,1737.5,1,2
Joliet,IL,41.5188,-88.1499,150221,882.1,1,2
Champaign,IL,40.1142,-88.2737,150179,1488.4,1,2
Pomona,CA,34.0585,-117.7626,149831,2516.9,1,2
Fairfield,CA,38.2583,-122.0335,149635,1108.7,1,2
Mesquite,TX,32.7602,-96.5865,149439,1175.4,1,2
Elkhart,IN,41.6916,-85.9627,149423,752.7,1,2
Naperville,IL,41.748,-88.1659,149089,1471.7,1,2
St. George,UT,37.0758,-113.5752,148895,481.3,1,2
Roseville,CA,38.7703,-121.3196,148879,1303.8,1,2
Topeka,KS,39.0346,-95.6955,148185,792.2,1,2
Burlington,NC,36.076,-79.4685,147415,726.6,1,2
Warner Robins,GA,32.5961,-83.6527,146790,819.4,1,2
Surprise,AZ,33.6815,-112.4515,145591,509.4,1,2
Torrance,CA,33.8346,-118.3416,145454,2737.4,1,2
Santa Maria,CA,34.9333,-120.4431,143647,1854.2,1,2
Athens,GA,33.9508,-83.3689,143173,420.0,1,2
Houma,LA,29.58,-90.7059,143160,883.2,1,2
Columbia,MO,38.9472,-92.3268,142637,725.2,1,2
Fullerton,CA,33.8841,-117.9279,142280,2450.2,1,2
Olathe,KS,38.8833,-94.82,142114,878.6,1,2
Thornton,CO,39.9197,-104.9438,141799,1500.2,1,2
Greeley,CO,40.4152,-104.7706,140984,843.2,1,2
Beaumont,TX,30.0849,-94.1451,140930,537.6,1,2
Las Cruces,NM,32.3265,-106.7893,140915,558.4,1,2
Midland,TX,32.0243,-102.1147,140171,673.3,1,2
Metairie,LA,29.9977,-90.178,140046,2334.8,0,2
Carolina,PR,18.4054,-65.9792,139201,2594.9,0,2
West Valley City,UT,40.6886,-112.0123,138868,1496.6,1,2
Orange,CA,33.8038,-117.8218,138728,2086.8,1,2
Warren,MI,42.4934,-83.027,138588,1556.5,1,2
Grand Junction,CO,39.0877,-108.5673,138416,628.7,1,2
Tyler,TX,32.3184,-95.3062,138024,711.1,1,2
Pasadena,CA,34.1597,-118.139,137554,2313.2,1,2
Hampton,VA,37.0551,-76.363,137217,1029.5,1,2
Bloomington,IL,40.4757,-88.9703,136524,1122.0,1,2
Elizabeth,NJ,40.6658,-74.1913,135665,4252.1,1,2
Stamford,CT,41.1039,-73.5585,135413,1389.9,1,2
Yuma,AZ,32.5995,-114.5491,135389,307.8,1,2
Kent,WA,47.3887,-122.2128,135169,1542.6,1,2
Miramar,FL,25.9773,-80.3351,135158,1808.6,1,2
Coeur d'Alene,ID,47.704,-116.7936,134503,1309.1,1,2
Coral Springs,FL,26.2702,-80.2591,133801,2259.4,1,2
Sterling Heights,MI,42.5809,-83.0305,133744,1416.8,1,2
Yuba City,CA,39.1357,-121.6383,133106,1751.4,1,2
Yakima,WA,46.5923,-120.5496,132354,1343.7,1,2
Carrollton,TX,32.989,-96.8999,132284,1393.3,1,2
Racine,WI,42.7274,-87.8135,132006,1932.5,1,2
Johnson City,TN,36.3406,-82.3806,131718,628.5,1,2
Billings,MT,45.7891,-108.5526,131519,998.3,1,2
Iowa City,IA,41.6559,-91.5303,130736,1127.0,1,2
Dover,DE,39.161,-75.5202,130186,634.2,1,2
Bellingham,WA,48.7548,-122.469,129880,1250.8,1,2
Charleston,WV,38.3484,-81.6322,129754,594.8,1,2
Lynchburg,VA,37.4003,-79.1909,128849,624.1,1,2
Santa Clara,CA,37.3646,-121.968,128058,2705.3,1,2
Norman,OK,35.2335,-97.3471,127701,276.0,1,2
Greenville,NC,35.5943,-77.376,127574,906.4,1,2
Simi Valley,CA,34.2663,-118.749,127568,1172.4,1,2
Fort Smith,AR,35.3495,-94.3695,126452,537.3,1,2
Abilene,TX,32.4543,-99.7384,126356,457.4,1,2
Arecibo,PR,18.4491,-66.7387,125727,1007.8,0,2
Lewisville,TX,33.0454,-96.9815,125028,1187.4,1,2
Pearland,TX,29.5581,-95.3218,124478,987.1,1,2
Lehigh Acres,FL,26.612,-81.6388,124440,518.3,0,2
Kenosha,WI,42.5865,-87.8773,124297,1341.2,1,2
Seaside,CA,36.6224,-121.8199,123421,1397.2,1,2
Burlington,VT,44.4876,-73.2316,123307,1673.1,1,2
Arvada,CO,39.832,-105.151,123066,1219.0,1,2
Waldorf,MD,38.6085,-76.9194,122310,863.7,0,2
Independence,MO,39.0871,-94.3501,122218,605.2,1,2
Rochester,MN,44.0154,-92.478,121870,836.8,1,2
Logan,UT,41.7399,-111.8422,121666,1142.4,1,2
Harlingen,TX,26.1916,-97.6977,121441,688.2,1,2
Berkeley,CA,37.8722,-122.276,121385,4492.7,1,2
Clovis,CA,36.8278,-119.683,120607,1801.3,1,2
Round Rock,TX,30.527,-97.6642,120465,1231.6,1,2
Pueblo,CO,38.2701,-104.6114,120380,765.4,1,2
Temple,TX,31.1068,-97.3891,120240,447.0,1,2
Meridian,ID,43.6116,-116.3977,119872,1271.9,1,2
Duluth,MN,46.7756,-92.1393,118574,467.5,1,2
The Woodlands,TX,30.1738,-95.5134,118402,1056.4,0,2
Boulder,CO,40.0248,-105.2524,118090,1534.8,1,2
Richardson,TX,32.9716,-96.7093,118063,1595.7,1,2
Cambridge,MA,42.3759,-71.1185,117962,7119.9,1,2
West Palm Beach,FL,26.7469,-80.132,117588,842.8,1,2
Port Arthur,TX,29.8554,-93.9264,117348,285.7,1,2
